MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,Speed_Delta,Course_Delta,AnomalyLabel
538006238,-8.017811577438087,-0.359261157023203,1.513829855017139,-0.6573332237991752,-0.0009562002746677,1024.0,under way using engine,1.3770003320787352,-0.2450121279510547,-0.2455758870417843,-0.5712536164751538,1.261376343666462,-2.90976471244486,1
370633000,0.1089690136614807,-0.4164834940957456,1.0748287490208597,1.0205231200511446,-1.249203238438949,1004.0,under way using engine,1.4816490134351237,1.8852041160466049,2.0798500038355163,1.6378439128509228,3.8962814959610106,-0.5619849415493292,1
370633000,0.1085376327060187,-0.5644660337874362,0.987028527821604,1.040290513357581,-1.1918857724007932,1004.0,under way using engine,1.4816490134351237,1.8852041160466049,2.0798500038355163,1.6378439128509228,3.8220588156146857,-0.4631310564589911,1
367390380,-0.2255499235045371,-1.2285757093058387,1.1406789149203014,-0.7735654964410212,1.4447176653543723,1001.0,under way using engine,-0.0346952129433837,-0.2450121279510547,-0.2455758870417843,-0.5712536164751538,2.448939229207667,-1.412834452505454,1
373889000,-0.1504582640936506,0.0739521655243207,0.3943770347266268,1.6333123125506726,-0.7269774367579742,1004.0,under way using engine,1.2160840263988393,1.4918984487983713,1.142738077661082,1.6378439128509228,-0.0004092222210686,-0.0306453091887619,1
352844000,-0.2479503600281951,-0.0745661808468197,-1.2957772233590483,1.324940976970265,-0.688765792732537,1004.0,at anchor,3.601608648989228e-05,0.0607659775107225,0.0320869058987887,1.6378439128509228,-2.8579824155545936,-0.3810470268750496,1
352844000,-0.2479346734479952,-0.0744481217479697,-1.273827168059234,1.581917089953938,-0.69513440007011,1004.0,at anchor,3.601608648989228e-05,0.0607659775107225,0.0320869058987887,1.6378439128509228,-3.2662071574593834,2.7019585143798706,1
373889000,-0.1835020452820848,0.106445662119388,0.2187765923281151,1.740056236405429,-0.6760285780573914,1004.0,under way using engine,1.2160840263988393,1.4918984487983713,1.142738077661082,1.6378439128509228,-2.412646333476642,0.6578013905475214,1
355139000,-0.5529000935197789,0.2250587306012994,2.7869330624063484,0.8892676284964072,-1.363838170515261,1004.0,under way using engine,1.6340720928020365,1.9295362577306543,1.142738077661082,2.1476356503877096,4.86117634046324,1.2571030689076963,1
355139000,-0.5535066412874589,0.2167673492733781,2.764983007106535,0.8971745858189817,-1.363838170515261,1004.0,under way using engine,1.6340720928020365,1.9295362577306543,1.142738077661082,2.1476356503877096,4.304506237865801,-0.9715224654950156,1
367390380,-0.2967277811558635,-1.6269979235649832,-0.7031257302640713,-0.8123095873216364,1.4447176653543723,1001.0,under way using engine,-0.0346952129433837,-0.2450121279510547,-0.2455758870417843,-0.5712536164751538,-5.901112309753931,-1.988305283567065,1
373889000,-0.1904642724602469,0.1098966203938647,0.2187765923281151,1.7226609302957652,-0.6760285780573914,1004.0,under way using engine,1.2160840263988393,1.4918984487983713,1.142738077661082,1.6378439128509228,-4.305324682307938,0.9208233348057426,1
311056400,0.0723382344676245,-0.2332830170659811,0.7455779195236504,0.9873138992963316,-1.2874148824643863,1004.0,under way using engine,1.3375674956256034,1.6328519249220157,1.1774459267786537,1.6378439128509228,-1.4477514889744123,2.019690182461733,1
273898000,2.6373529255184525,1.6372544268071234,-0.4397250666663037,0.6378263856385364,-1.5294219612921551,1001.0,under way using engine,-0.4282652536967571,-0.2688832811655428,-0.176160188806641,-0.6278971428681301,-0.0004092222210686,0.0514387203951796,1
356159000,-0.2522144954121912,-2.664346899407896,1.513829855017139,1.932985995076248,-0.548656431305934,1024.0,under way using engine,1.2465686422722222,1.3702692395626457,1.6980636635422284,2.3175662295666384,4.675619639597427,1.0426254432206234,1
